step,vm,file,where,latency,vm_cache_size,host_cache_size,thread_id
0,2,J,host,5,3,2,VM-2
1,1,E,disk,16,3,2,VM-1
2,1,H,disk,16,3,2,VM-1
3,7,H,host,5,3,2,VM-7
4,6,D,disk,16,3,2,VM-6
5,1,H,vm,1,3,2,VM-1
6,0,G,disk,16,3,2,VM-0
7,6,J,disk,16,3,2,VM-6
8,0,H,disk,16,3,2,VM-0
9,4,D,disk,16,3,2,VM-4
10,1,F,disk,16,3,2,VM-1
11,0,A,disk,16,3,2,VM-0
12,0,I,disk,16,3,2,VM-0
13,0,G,disk,16,3,2,VM-0
14,3,G,host,5,3,2,VM-3
15,0,I,vm,1,3,2,VM-0
16,3,H,host,5,3,2,VM-3
17,7,I,host,5,3,2,VM-7
18,3,F,disk,16,3,2,VM-3
19,3,D,disk,16,3,2,VM-3
20,7,E,disk,16,3,2,VM-7
21,0,G,vm,1,3,2,VM-0
22,1,C,disk,16,3,2,VM-1
23,4,B,disk,16,3,2,VM-4
24,5,I,disk,16,3,2,VM-5
25,6,I,disk,16,3,2,VM-6
26,3,E,disk,16,3,2,VM-3
27,4,J,disk,16,3,2,VM-4
28,7,I,vm,1,3,2,VM-7
29,6,J,vm,1,3,2,VM-6
30,0,H,disk,16,3,2,VM-0
31,3,G,disk,16,3,2,VM-3
32,6,C,disk,16,3,2,VM-6
33,5,I,vm,1,3,2,VM-5
34,5,B,disk,16,3,2,VM-5
35,7,I,vm,1,3,2,VM-7
36,1,C,vm,1,3,2,VM-1
37,6,F,disk,16,3,2,VM-6
38,7,A,disk,16,3,2,VM-7
39,7,A,vm,1,3,2,VM-7
40,4,J,vm,1,3,2,VM-4
41,6,C,vm,1,3,2,VM-6
42,2,I,disk,16,3,2,VM-2
43,3,A,disk,16,3,2,VM-3
44,3,I,disk,16,3,2,VM-3
45,3,G,vm,1,3,2,VM-3
46,5,J,disk,16,3,2,VM-5
47,5,H,host,5,3,2,VM-5
48,4,I,disk,16,3,2,VM-4
49,0,G,vm,1,3,2,VM-0
